image_file,camera_id,camera_name,district,lat,lng,captured_at,total_count,car_count,motorbike_count,density_level,label_status,labeler,split,source_url,notes
images/001_63bd1f21bfd3d90017ec3d04.jpg,63bd1f21bfd3d90017ec3d04,Huỳnh Tấn Phát - Phạm Hữu Lầu,Quận 7,10.7052043577961,106.737660169601,2026-08-12T17:15:44.589447+00:00,1,1,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=63bd1f21bfd3d90017ec3d04,"Auto-annotated: 0 moto, 1 car, 0 heavy. Flood score=68.9 (level=2)"
images/002_5a8269c45058170011f6eae4.jpg,5a8269c45058170011f6eae4,Nguyễn Văn Quỳ - Cầu Phú Mỹ,Quận 7,10.7409610852775,106.7367374897,2026-08-12T17:15:44.994092+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5a8269c45058170011f6eae4,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=39.2 (level=0)"
images/003_63b660f8bfd3d90017eaa4ea.jpg,63b660f8bfd3d90017eaa4ea,Cầu Tân Thuận 2 - Q7 (Q7-Q4),Quận 7,10.7526506780822,106.723862886429,2026-08-12T17:15:45.250234+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=63b660f8bfd3d90017eaa4ea,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=44.8 (level=1)"
images/004_63b660d8bfd3d90017eaa4d5.jpg,63b660d8bfd3d90017eaa4d5,Cầu Tân Thuận 2 - Q7 (Q4-Q7),Quận 7,10.7527666230832,106.723691225052,2026-08-12T17:15:45.518338+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=63b660d8bfd3d90017eaa4d5,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=35.8 (level=0)"
images/005_5a8267fe5058170011f6eae1.jpg,5a8267fe5058170011f6eae1,Lê Văn Lương - Cầu Rạch Đĩa,Huyện Nhà Bè,10.7235786992945,106.697700619698,2026-08-12T17:15:45.763517+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,val,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5a8267fe5058170011f6eae1,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=7.6 (level=0)"
images/006_585b2baec3f96200127dc508.jpg,585b2baec3f96200127dc508,Nguyễn Văn Linh - Huỳnh Tấn Phát 2,Quận 7,10.7525452734972,106.728331446648,2026-08-12T17:15:45.970823+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=585b2baec3f96200127dc508,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=34.5 (level=0)"
images/007_662a8ef41afb9c00172d2af2.jpg,662a8ef41afb9c00172d2af2,Lê Văn Lương - Đường số 15,Quận 7,10.7449876687987,106.704325675964,2026-08-12T17:15:46.230952+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=662a8ef41afb9c00172d2af2,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=45.2 (level=1)"
images/008_662a8fd41afb9c00172d2bac.jpg,662a8fd41afb9c00172d2bac,Nguyễn Lương Bằng - Phạm Hữu Lầu,Quận 7,10.7045402040992,106.732370853424,2026-08-12T17:15:46.491082+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=662a8fd41afb9c00172d2bac,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=33.4 (level=0)"
images/009_585b2b1ec3f96200127dc505.jpg,585b2b1ec3f96200127dc505,Nguyễn Văn Linh - Huỳnh Tấn Phát 1,Quận 7,10.7528825680397,106.728594303131,2026-08-12T17:15:46.735265+00:00,0,0,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,train,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=585b2b1ec3f96200127dc505,"Auto-annotated: 0 moto, 0 car, 0 heavy. Flood score=37.7 (level=0)"
images/010_5a825b7d5058170011f6ead4.jpg,5a825b7d5058170011f6ead4,Nguyễn Văn Linh - Nguyễn Hữu Thọ (3),Quận 7,10.7282010989927,106.700441837311,2026-08-12T17:15:46.987421+00:00,1,1,0,low,auto_annotated_yolo_hsv,YOLOv8n + PhysicsHSV,val,https://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5a825b7d5058170011f6ead4,"Auto-annotated: 0 moto, 1 car, 0 heavy. Flood score=23.0 (level=0)"
